№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
866,tesztel,tesztelni,Holnap teszteljük az új programot.,to test,Tomorrow we'll test the new program.,0866_tesztel_m.mp3
867,hozzámegy,hozzámenni,Hozzámegyek egy orvoshoz.,to marry (said of a woman),I'm going to marry a doctor.,0867_hozzamegy_m.mp3
868,szembenéz,szembenézni,Bátran szembenézünk a nehézségekkel.,"to face, to confront",We bravely face the difficulties.,0868_szembenez_m.mp3
869,kerít,keríteni,Holnapra kerítek két jegyet a koncertre.,"to get hold of, to get",By tomorrow I'll get two tickets for the concert.,0869_kerit_m.mp3
870,továbblép,továbblépni,Most már továbblépünk a következő feladatra.,"to move on, to move forward",Now we're moving on to the next task.,0870_tovabblep_m.mp3
871,csíp,csípni,Nyáron mindig csípnek a szúnyogok.,to bite,Mosquitoes always bite in the summer.,0871_csip_m.mp3
872,mászkál,mászkálni,Egész nap a parkban mászkáltunk.,to wander around,We wandered around the park all day.,0872_maszkal_m.mp3
873,felébreszt,felébreszteni,Reggel hatkor felébresztelek téged.,to wake someone up,I'll wake you up at six in the morning.,0873_felebreszt_m.mp3
874,eltart,eltartani,Egyedül tartom el őt.,"to support, to provide for",I'm supporting him on my own.,0874_eltart_m.mp3
875,igényel,igényelni,Holnap új igazolványt igénylek.,"to apply for, to request",Tomorrow I'm applying for a new ID card.,0875_igenyel_m.mp3
876,tűr,tűrni,Nehezen tűröm a nagy meleget nyáron.,"to tolerate, to bear",I can hardly stand the intense heat in summer.,0876_tur_m.mp3
877,eljátszik,eljátszani,Tegnap eljátszottam az összes pénzemet.,"to gamble away, to squander",Yesterday I gambled away all my money.,0877_eljatszik_m.mp3
878,adódik,adódni,Néha váratlan problémák adódnak a munkában.,"to come up, to arise",Sometimes unexpected problems come up at work.,0878_adodik_m.mp3
879,tanúskodik,tanúskodni,Holnap a bíróságon fogok tanúskodni.,"to testify, to give evidence",Tomorrow I'm going to testify in court.,0879_tanuskodik_m.mp3
880,gyárt,gyártani,Ez a gyár autókat gyárt.,"to manufacture, to produce",This factory manufactures cars.,0880_gyart_m.mp3
881,ellenez,ellenezni,Én is ellenzem ezt a tervet.,"to oppose, to be against",I'm against this plan too.,0881_ellenez_m.mp3
882,ütközik,ütközni,A sötétben egy falba ütköztem.,"to run into, to bump into",In the dark I ran into a wall.,0882_utkozik_m.mp3
883,derül,derülni,Egy jó vicctől mindig jókedvre derülök.,"to cheer up, to brighten up",A good joke always cheers me up.,0883_derul_m.mp3
884,ugrál,ugrálni,Vidáman ugrálok a parkban.,"to jump around, to bounce",I'm jumping around happily in the park.,0884_ugral_m.mp3
885,kisétál,kisétálni,Reggel kisétáltam a házból a kertbe.,"to walk out, to stroll out",This morning I walked out of the house into the garden.,0885_kisetal_m.mp3
886,beáll,beállni,Beálltam a sorba a boltban.,"to join a queue, to get in line",I joined the queue in the shop.,0886_beall_m.mp3
887,felmond,felmondani,Holnap felmondok a munkahelyemen.,"to quit, to resign",I'm quitting my job tomorrow.,0887_felmond_m.mp3
888,hever,heverni,A macska egész nap a kanapén hever.,"to lounge, to lie around",The cat lounges on the sofa all day.,0888_hever_m.mp3
889,megjegyez,megjegyezni,Könnyen megjegyzem az új szavakat.,"to memorize, to remember",I memorize the new words easily.,0889_megjegyez_m.mp3
890,tippel,tippelni,Mindig rosszul tippelek a meccs eredményére.,"to guess, to tip",I always guess the match result wrong.,0890_tippel_m.mp3
891,megtilt,megtiltani,Megtiltotta nekem a dohányzást.,"to forbid, to ban",He forbade me from smoking.,0891_megtilt_m.mp3
892,megfenyeget,megfenyegetni,Tegnap megfenyegették a szomszédot.,to threaten,Yesterday they threatened the neighbor.,0892_megfenyeget_m.mp3
893,sül,sülni,A kenyér most sül a sütőben.,to bake,The bread is baking in the oven right now.,0893_sul_m.mp3
894,tép,tépni,Reggel mindig tépek egy virágot a kertben.,"to pick, to pluck",Every morning I pick a flower in the garden.,0894_tep_m.mp3
895,elhúz,elhúzni,Reggel mindig elhúzom a függönyt.,"to pull back, to open",Every morning I pull back the curtain.,0895_elhuz_m.mp3
896,elájul,elájulni,A melegben majdnem elájultam.,"to faint, to pass out",I almost fainted in the heat.,0896_elajul_m.mp3
897,elítél,elítélni,Szigorúan elítélem az erőszakot.,to condemn,I strongly condemn violence.,0897_elitel_m.mp3
898,elterel,elterelni,Elterelem a figyelmét egy vicces történettel.,"to distract, to divert",I distract him with a funny story.,0898_elterel_m.mp3
899,rátalál,rátalálni,Végre rátaláltam a kulcsomra.,"to find, to come across",I finally found my key.,0899_ratalal_m.mp3
900,helyettesít,helyettesíteni,Ma én helyettesítem a beteg kollégámat.,"to substitute for, to cover for",Today I am covering for my sick colleague.,0900_helyettesit_m.mp3
901,gyűlik,gyűlni,Gyűlik a pénzünk a nyaralásra.,"to accumulate, to build up",Our holiday money is adding up.,0901_gyulik_m.mp3
902,megszólal,megszólalni,Hirtelen megszólalt a telefonom.,"to ring, to go off",Suddenly my phone rang.,0902_megszolal_m.mp3
903,járkál,járkálni,Idegesen járkáltam a szobában.,"to pace, to walk back and forth",I was nervously pacing around the room.,0903_jarkal_m.mp3
904,elszáll,elszállni,A madarak ősszel délre elszállnak.,"to fly away, to migrate","In autumn, the birds fly south.",0904_elszall_m.mp3
905,betart,betartani,Mindig betartom a szabályokat.,"to follow, to obey",I always follow the rules.,0905_betart_m.mp3
906,kiüt,kiütni,Egyetlen ütéssel kiütötte az ellenfelét.,to knock out,He knocked out his opponent with a single punch.,0906_kiut_m.mp3
907,elvezet,elvezetni,Elvezetem a vendéget a szobájába.,"to lead, to take (someone somewhere)",I'll take the guest to their room.,0907_elvezet_m.mp3
908,megállapít,megállapítani,Gyorsan megállapítottam az okot.,"to determine, to identify",I quickly identified the cause.,0908_megallapit_m.mp3
909,fürdik,fürdeni,Nyáron mindennap a tóban fürdünk.,"to swim, to bathe",In summer we swim in the lake every day.,0909_furdik_m.mp3
910,kémkedik,kémkedni,Gyakran kémkedik a szomszédok után.,"to spy on, to snoop on",He often spies on the neighbors.,0910_kemkedik_m.mp3
911,köszönhet,köszönhetni,Neki köszönhetem a jó munkámat.,to owe (something to someone),I owe my good job to him.,0911_koszonhet_m.mp3
912,képez,képezni,Most jó szakembereket képezünk.,"to train, to educate",We are training good professionals right now.,0912_kepez_m.mp3
913,zuhanyozik,zuhanyozni,Reggel mindig hideg vízzel zuhanyozom.,"to shower, to take a shower",I always shower with cold water in the morning.,0913_zuhanyozik_m.mp3
914,visszatart,visszatartani,Alig tudtam visszatartani a nevetésemet.,"to hold back, to suppress",I could barely hold back my laughter.,0914_visszatart_m.mp3
915,rohad,rohadni,A gyümölcs lassan rohad a konyhában.,"to rot, to decay",The fruit is slowly rotting in the kitchen.,0915_rohad_m.mp3
916,lel,lelni,Végre nyugalmat leltem itthon.,to find,I finally found peace at home.,0916_lel_m.mp3
917,felhoz,felhozni,Mindig ezt a témát hozza fel a vacsoránál.,"to bring up, to raise (a topic)",He always brings up this topic at dinner.,0917_felhoz_m.mp3
918,elfárad,elfáradni,Este nagyon elfáradtam a munkában.,"to get tired, to become tired",I got very tired from work in the evening.,0918_elfarad_m.mp3
919,megőriz,megőrizni,Mindig megőrzöm a régi fényképeket.,"to keep, to preserve",I always keep the old photos.,0919_megoriz_m.mp3
920,mutatkozik,mutatkozni,Ő ritkán mutatkozik a nyilvánosság előtt.,"to appear, to show oneself",He rarely appears in public.,0920_mutatkozik_m.mp3
921,idegesít,idegesíteni,Nagyon idegesít ez a hangos zene.,"to annoy, to irritate",This loud music really annoys me.,0921_idegesit_m.mp3
922,javul,javulni,Az időjárás holnap javul.,"to improve, to get better",The weather will get better tomorrow.,0922_javul_m.mp3
923,kommunikál,kommunikálni,Az ügyfelekkel mindig udvariasan kommunikálunk.,to communicate,We always communicate politely with clients.,0923_kommunikal_m.mp3
924,elbukik,elbukni,A vizsgán majdnem elbuktam.,to fail,I almost failed the exam.,0924_elbukik_m.mp3
925,ültet,ültetni,Tavasszal virágokat ültetek a kertbe.,to plant,In spring I plant flowers in the garden.,0925_ultet_m.mp3
926,süllyed,süllyedni,A hajó lassan süllyed a vízben.,to sink,The ship is slowly sinking in the water.,0926_sullyed_m.mp3
927,izzad,izzadni,Nyáron mindig izzadok a melegben.,to sweat,I always sweat in the summer heat.,0927_izzad_m.mp3
928,elvet,elvetni,Mindig elvetem a rossz javaslatokat.,"to reject, to dismiss",I always reject bad suggestions.,0928_elvet_m.mp3
929,lenyúl,lenyúlni,Gyorsan lenyúltam a leesett kulcsért.,to reach down,I quickly reached down for the fallen key.,0929_lenyul_m.mp3
930,lenyűgöz,lenyűgözni,A film tegnap teljesen lenyűgözött minket.,"to captivate, to amaze",The film completely amazed us yesterday.,0930_lenyugoz_m.mp3
931,megnyugtat,megnyugtatni,A zene este mindig megnyugtat engem.,"to calm down, to soothe",Music always calms me down in the evening.,0931_megnyugtat_m.mp3
932,beenged,beengedni,"Hideg van, ezért nem engedlek be.",to let in,"It's cold, so I'm not letting you in.",0932_beenged_m.mp3
933,kiválaszt,kiválasztani,Mindig a legolcsóbb terméket választom ki.,"to pick, to choose",I always pick the cheapest product.,0933_kivalaszt_m.mp3
934,elkészít,elkészíteni,Gyorsan elkészítem a vacsorát.,"to make, to prepare",I'll make dinner quickly.,0934_elkeszit_m.mp3
935,szétrúg,szétrúgni,Dühösen szétrúgta a homokvárat.,to kick apart,He angrily kicked the sandcastle apart.,0935_szetrug_m.mp3
936,játszadozik,játszadozni,A gyerekek a parkban játszadoznak.,to play around,The children are playing around in the park.,0936_jatszadozik_m.mp3
937,megházasodik,megházasodni,Tavaly nyáron megházasodott.,to get married,He got married last summer.,0937_meghazasodik_m.mp3
938,határoz,határozni,Holnap határozunk a nyaralásról.,"to decide, to make a decision",Tomorrow we'll decide on the holiday.,0938_hataroz_m.mp3
939,beindít,beindítani,Reggel mindig beindítom a számítógépet.,"to start up, to boot up",I always start up the computer in the morning.,0939_beindit_m.mp3
940,átöltözik,átöltözni,Munka után gyorsan átöltözöm otthon.,"to change clothes, to get changed",After work I quickly get changed at home.,0940_atoltozik_m.mp3
941,megkezd,megkezdeni,Holnap megkezdjük a munkát.,"to start, to begin",Tomorrow we start work.,0941_megkezd_m.mp3
942,felnéz,felnézni,Nagyon felnézek a tanáromra.,"to look up to, to admire",I really look up to my teacher.,0942_felnez_m.mp3
943,megnyit,megnyitni,Reggel megnyitottam egy fontos fájlt.,to open,This morning I opened an important file.,0943_megnyit_m.mp3
944,meggyógyít,meggyógyítani,Az orvos gyorsan meggyógyított engem.,"to cure, to heal",The doctor cured me quickly.,0944_meggyogyit_m.mp3
945,feljön,feljönni,Reggel korán feljön a nap.,"to rise, to come up",The sun rises early in the morning.,0945_feljon_m.mp3
946,alapul,alapulni,A döntésem a tapasztalatomon alapul.,to be based on,My decision is based on my experience.,0946_alapul_m.mp3
947,nyilatkozik,nyilatkozni,Holnap nyilatkozik a televíziónak.,"to make a statement, to give a statement",Tomorrow he is giving a statement to the television.,0947_nyilatkozik_m.mp3
948,megérez,megérezni,Rögtön megéreztem a veszélyt.,"to sense, to feel",I sensed the danger right away.,0948_megerez_m.mp3
949,átlép,átlépni,Óvatosan átléptem a tócsán.,to step over,I carefully stepped over the puddle.,0949_atlep_m.mp3
950,elveszik,elveszni,Mindig elveszek a nagy városban.,to get lost,I always get lost in a big city.,0950_elveszik_m.mp3
951,megszokik,megszokni,Lassan megszoktam az új munkahelyet.,"to get used to, to settle into",I slowly got used to the new workplace.,0951_megszokik_m.mp3
952,nyaral,nyaralni,Idén nyáron a tengernél nyaralunk.,"to spend the summer, to vacation",This summer we are vacationing by the sea.,0952_nyaral_m.mp3
953,megállapodik,megállapodni,Végül megállapodtunk az árban.,"to agree on, to reach an agreement",In the end we agreed on the price.,0953_megallapodik_m.mp3
954,megnyugszik,megnyugodni,Végre megnyugodtam egy kicsit.,"to calm down, to settle down",I finally calmed down a little.,0954_megnyugszik_m.mp3
955,elsétál,elsétálni,Reggel elsétáltam a parkig.,"to walk to, to stroll to",In the morning I walked to the park.,0955_elsetal_m.mp3
956,óv,óvni,Mindig óvom a bőrömet a naptól.,"to protect, to guard",I always protect my skin from the sun.,0956_ov_m.mp3
957,lecsuk,lecsukni,Este mindig lecsukom a laptopot.,"to close, to shut",I always close my laptop in the evening.,0957_lecsuk_m.mp3
958,takar,takarni,Este takaróval takarom a kutyát.,to cover,In the evening I cover the dog with a blanket.,0958_takar_m.mp3
959,önt,önteni,Vizet öntök a pohárba.,to pour,I pour water into a glass.,0959_ont_m.mp3
960,felfed,felfedni,Végre felfedte az igazságot.,"to reveal, to uncover",She finally revealed the truth.,0960_felfed_m.mp3
961,belekeveredik,belekeveredni,Véletlenül belekeveredtem egy vitába.,"to get caught up in, to get dragged into",I accidentally got caught up in an argument.,0961_belekeveredik_m.mp3
962,lead,leadni,Holnap leadom a házi feladatot.,"to hand in, to submit",Tomorrow I'm handing in my homework.,0962_lead_m.mp3
963,előjön,előjönni,Végre előjött a fa mögül.,to come out,He finally came out from behind the tree.,0963_elojon_m.mp3
964,kifejez,kifejezni,Szavakkal nehéz kifejezni az érzéseimet.,to express,It's hard to express my feelings in words.,0964_kifejez_m.mp3
965,rajtakap,rajtakapni,Tegnap rajtakaptam a macskát lopáson.,to catch in the act,Yesterday I caught the cat stealing.,0965_rajtakap_m.mp3
966,beállít,beállítani,Most beállítom az ébresztőórát reggelre.,to set,I'm setting my alarm for the morning.,0966_beallit_m.mp3
967,felgyújt,felgyújtani,Tegnap este felgyújtottam a villanyt.,to turn on (the light),Last night I turned on the light.,0967_felgyujt_m.mp3
968,aktivál,aktiválni,Most aktiválom az új bankkártyámat.,to activate,I'm activating my new bank card now.,0968_aktival_m.mp3
969,idefigyel,idefigyelni,"Most idefigyelj, mert ez fontos!","to listen up, to pay attention","Now listen up, because this is important!",0969_idefigyel_m.mp3
970,ügyel,ügyelni,Mindig ügyelek a rendre.,"to keep order, to keep an eye on",I always keep things in order.,0970_ugyel_m.mp3
971,felvet,felvetni,A megbeszélésen mindig felvetek egy fontos kérdést.,to raise (a question/issue),I always raise an important question at the meeting.,0971_felvet_m.mp3
972,tár,tárni,Reggel mindig szélesre tárom az ablakot.,"to throw open, to open wide",Every morning I throw the window wide open.,0972_tar_m.mp3
973,megünnepel,megünnepelni,Holnap megünnepeljük a győzelmet.,to celebrate,Tomorrow we are going to celebrate the victory.,0973_megunnepel_m.mp3
974,összeveszik,összeveszni,Tegnap összevesztem a barátommal.,"to have a fight, to quarrel",Yesterday I had a fight with my friend.,0974_osszeveszik_m.mp3
975,barátkozik,barátkozni,Az iskolában könnyen barátkozom új emberekkel.,to make friends,At school I easily make friends with new people.,0975_baratkozik_m.mp3
976,belenéz,belenézni,Reggel mindig belenézek a postaládába.,"to look inside, to check",Every morning I check the mailbox.,0976_belenez_m.mp3
977,megelőz,megelőzni,Az autópályán megelőztünk egy lassú teherautót.,"to overtake, to pass",On the highway we overtook a slow truck.,0977_megeloz_m.mp3
978,meglép,meglépni,A tolvaj gyorsan meglépett a pénzzel.,"to bolt, to make a run for it",The thief quickly bolted with the money.,0978_meglep_m.mp3
979,fektet,fektetni,Az ágyra fektetem a babát.,to lay (someone) down,I am laying the baby down on the bed.,0979_fektet_m.mp3
980,lehúz,lehúzni,Gyorsan lehúztam a vizes pulóveremet.,"to pull off, to take off",I quickly pulled off my wet sweater.,0980_lehuz_m.mp3
981,megtör,megtörni,A rossz hír végül megtört engem.,"to break (someone), to crush",The bad news finally broke me.,0981_megtor_m.mp3
982,elköltözik,elköltözni,Jövő hónapban elköltözöm egy másik városba.,"to move away, to move out",Next month I'm moving to another city.,0982_elkoltozik_m.mp3
983,robbant,robbantani,A bányában tegnap követ robbantottak.,"to blast, to blow up",Yesterday they blasted rock in the mine.,0983_robbant_m.mp3
984,fenntart,fenntartani,Fenntartok nektek két helyet az asztalnál.,"to reserve, to hold",I'm holding two seats at the table for you.,0984_fenntart_m.mp3
985,megbukik,megbukni,Tegnap megbuktam a vizsgán.,to fail (an exam),Yesterday I failed the exam.,0985_megbukik_m.mp3
986,megfogad,megfogadni,Mindig megfogadom anyám jó tanácsát.,"to take (advice), to follow",I always take my mother's good advice.,0986_megfogad_m.mp3
987,lekapcsol,lekapcsolni,Este mindig lekapcsolom a villanyt.,"to turn off, to switch off",I always turn off the light in the evening.,0987_lekapcsol_m.mp3
988,tisztít,tisztítani,Minden reggel tisztítom a cipőmet.,"to clean, to polish",Every morning I clean my shoes.,0988_tisztit_m.mp3
989,kikerül,kikerülni,Mindig kikerülöm a tócsákat az úton.,"to avoid, to go around",I always avoid the puddles on the road.,0989_kikerul_m.mp3
990,tanácsol,tanácsolni,Mindig türelmet tanácsol nekünk.,"to advise, to recommend",He always advises us to be patient.,0990_tanacsol_m.mp3
991,elüt,elütni,Tegnap majdnem elütöttem egy kutyát.,"to hit (with a vehicle), to run over",Yesterday I almost hit a dog.,0991_elut_m.mp3
992,ijeszt,ijeszteni,Te néha hangosan ijeszted a macskát.,"to frighten, to scare",You sometimes scare the cat with loud noises.,0992_ijeszt_m.mp3
993,elkészül,elkészülni,A vacsora hamarosan elkészül.,"to be ready, to be done",Dinner will be ready soon.,0993_elkeszul_m.mp3
994,épül,épülni,A ház most épül a városban.,"to be built, to be under construction",The house is being built in the city right now.,0994_epul_m.mp3
995,borul,borulni,Ő ijedten a földre borult.,"to fall down, to collapse onto","Frightened, he fell to the ground.",0995_borul_m.mp3
996,elrendez,elrendezni,Holnap elrendezem a papírjaimat.,"to sort out, to put in order",Tomorrow I'll sort out my papers.,0996_elrendez_m.mp3
997,teker,tekerni,Minden reggel gyorsan tekerem a pedált.,"to pedal, to turn",Every morning I pedal fast.,0997_teker_m.mp3
998,megnősül,megnősülni,Jövőre végre megnősülök.,to get married (of a man),Next year I'm finally getting married.,0998_megnosul_m.mp3
999,kinyílik,kinyílni,Tavasszal kinyílnak a virágok a kertben.,"to bloom, to open up",In spring the flowers bloom in the garden.,0999_kinyilik_m.mp3
1000,megvitat,megvitatni,Holnap megvitatjuk a tervet a munkahelyen.,"to discuss, to talk over",Tomorrow we'll discuss the plan at work.,1000_megvitat_m.mp3
