№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
803,kiszed,kiszedni,Kiszedem a húst a fagyasztóból.,"вынимать / вынуть, извлекать",Я вынимаю мясо из морозилки.,0803_kiszed_m.mp3
804,csuk,csukni,Este mindig csukom az ablakot.,закрывать / закрыть,Вечером я всегда закрываю окно.,0804_csuk_m.mp3
805,növel,növelni,Minden héten növelem a megtakarításomat.,увеличивать / увеличить,Каждую неделю я увеличиваю свои сбережения.,0805_novel_m.mp3
806,verekedik,verekedni,Tegnap az iskolában verekedtem egy fiúval.,драться / подраться (с кем-л.),Вчера в школе я подрался с одним мальчиком.,0806_verekedik_m.mp3
807,merül,merülni,Nyáron mélyen a vízbe merülök.,погружаться / погрузиться,Летом я глубоко погружаюсь в воду.,0807_merul_m.mp3
808,felszáll,felszállni,Reggel mindig a hatos buszra szállok fel.,садиться (в транспорт); взлетать,Утром я всегда сажусь на шестой автобус.,0808_felszall_m.mp3
809,dohányzik,dohányozni,A teraszon mindig dohányzik vacsora után.,курить,Он всегда курит на террасе после ужина.,0809_dohanyzik_m.mp3
810,kicserél,kicserélni,Holnap kicserélem a régi telefonomat.,заменять / заменить (на новое),Завтра я заменю свой старый телефон.,0810_kicserel_m.mp3
811,tűnődik,tűnődni,Néha sokáig tűnődöm a jövőmön.,"размышлять, раздумывать (о чём-л.)",Иногда я долго размышляю о своём будущем.,0811_tunodik_m.mp3
812,retteg,rettegni,Mindig rettegek a fogorvostól.,"бояться, страшиться (кого/чего-л.)",Я всегда боюсь стоматолога.,0812_retteg_m.mp3
813,odavan,odalenni,Odavagyok ezért a süteményért.,"быть в восторге (от чего-л., -ért)",Я в восторге от этого пирожного.,0813_odavan_m.mp3
814,köszönt,köszönteni,Reggel mindig vidáman köszöntöm a szomszédokat.,"приветствовать, поздравлять",Утром я всегда весело приветствую соседей.,0814_koszont_m.mp3
815,megemlít,megemlíteni,A megbeszélésen megemlítettem ezt a problémát.,упомянуть (что-л.),На совещании я упомянул эту проблему.,0815_megemlit_m.mp3
816,büntet,büntetni,Igazságosan büntetjük a bűnösöket.,наказываем,Мы справедливо наказываем виновных.,0816_buntet_m.mp3
817,bekapcsol,bekapcsolni,Reggel mindig bekapcsolom a rádiót.,включать / включить,Утром я всегда включаю радио.,0817_bekapcsol_m.mp3
818,csökkent,csökkenteni,Csökkentettük a költségeket tavaly.,снизили,Мы снизили расходы в прошлом году.,0818_csokkent_m.mp3
819,feláldoz,feláldozni,Sokat feláldoztam a családomért.,"приносить в жертву, жертвовать",Я многим пожертвовал ради своей семьи.,0819_felaldoz_m.mp3
820,reggelizik,reggelizni,Reggel mindig otthon reggelizem.,завтракать,Утром я всегда завтракаю дома.,0820_reggelizik_m.mp3
821,belefárad,belefáradni,Hamar belefáradtam a várakozásba.,устать (от чего-то),Я быстро устал от ожидания.,0821_belefarad_m.mp3
822,kibír,kibírni,Már nem bírom ki ezt a hideget.,"выдержать, вытерпеть",Я уже не выдерживаю этот холод.,0822_kibir_m.mp3
823,észlel,észlelni,Reggel azonnal észleltem a hibát.,"замечать / заметить, воспринимать",Утром я сразу заметил ошибку.,0823_eszlel_m.mp3
824,kerget,kergetni,A kutya minden reggel kergeti a macskát.,"гнать, гоняться за кем-л.",Собака каждое утро гоняется за кошкой.,0824_kerget_m.mp3
825,kitesz,kitenni,Reggel kiteszem a szemetet az utcára.,"выставлять, выносить (наружу)",Утром я выставляю мусор на улицу.,0825_kitesz_m.mp3
826,megcsal,megcsalni,Sajnos megcsalt engem tavaly nyáron.,изменить (партнёру),"К сожалению, он(а) изменил(а) мне прошлым летом.",0826_megcsal_m.mp3
827,lovagol,lovagolni,Minden vasárnap lovagolok a réten.,"ездить верхом, кататься верхом",Каждое воскресенье я катаюсь верхом на лугу.,0827_lovagol_m.mp3
828,bedob,bedobni,Reggel gyorsan bedobom a leveleket a postaládába.,бросать/забросить (внутрь),Утром я быстро бросаю письма в почтовый ящик.,0828_bedob_m.mp3
829,kérdezősködik,kérdezősködni,A szomszédról kérdezősködtem a boltban.,расспрашивать (о ком-/чём-либо),Я расспрашивал о соседе в магазине.,0829_kerdezoskodik_m.mp3
830,rejtőzik,rejtőzni,Most a fa mögött rejtőzöm.,"прятаться, скрываться",Сейчас я прячусь за деревом.,0830_rejtozik_m.mp3
831,meggyógyul,meggyógyulni,"Remélem, hamarosan meggyógyulsz.",выздоравливать / выздороветь,"Надеюсь, ты скоро выздоровеешь.",0831_meggyogyul_m.mp3
832,idead,ideadni,"Kérlek, ideadod most a sót?","передать (сюда), дать сюда","Пожалуйста, передашь мне сейчас соль?",0832_idead_m.mp3
833,elvár,elvárni,Mindig sok segítséget várok el tőled.,"ожидать, требовать (от кого-л.)",Я всегда жду от тебя большой помощи.,0833_elvar_m.mp3
834,jelöl,jelölni,Pirossal jelölöm az utat a térképen.,отмечаю,Я отмечаю дорогу красным на карте.,0834_jelol_m.mp3
835,bújik,bújni,Ő gyorsan az ágy alá bújik.,прятаться; залезать (куда-л.),Он быстро прячется под кровать.,0835_bujik_m.mp3
836,bekerül,bekerülni,A csapatba végre bekerültem.,попасть (внутрь),Я наконец-то попал(а) в команду.,0836_bekerul_m.mp3
837,megmérgez,megmérgezni,Tegnap véletlenül megmérgezte a patkányokat.,отравить,Вчера он случайно отравил крыс.,0837_megmergez_m.mp3
838,alakít,alakítani,A színész egy orvost alakít a filmben.,играть роль; формировать,Актёр играет роль врача в фильме.,0838_alakit_m.mp3
839,csomagol,csomagolni,Most csomagolom a bőröndömet.,упаковывать / паковать,Сейчас я упаковываю свой чемодан.,0839_csomagol_m.mp3
840,végignéz,végignézni,Tegnap végignéztem egy jó filmet.,"просмотреть до конца, оглядеть",Вчера я посмотрел до конца один хороший фильм.,0840_vegignez_m.mp3
841,elhatároz,elhatározni,"Elhatároztam, hogy holnap korán kelek.",решать / решить,"Я решил(а), что завтра встану рано.",0841_elhataroz_m.mp3
842,keveredik,keveredni,Tegnap véletlenül egy vitába keveredtem.,"впутываться, ввязываться (во что-л.)",Вчера я случайно ввязался в спор.,0842_keveredik_m.mp3
843,tanulmányoz,tanulmányozni,Most a térképet tanulmányozom.,изучать / изучить,Сейчас я изучаю карту.,0843_tanulmanyoz_m.mp3
844,beindul,beindulni,Reggel az autó nem indult be.,"заводиться / завестись (о моторе, машине)",Утром машина не завелась.,0844_beindul_m.mp3
845,odanéz,odanézni,"Gyorsan odanéztem, de már nem volt ott senki.","посмотреть туда, взглянуть","Я быстро посмотрел туда, но там уже никого не было.",0845_odanez_m.mp3
846,csalódik,csalódni,Nagyon csalódtam ebben a filmben.,разочаровываться / разочароваться (в ком-чём),Я очень разочаровался в этом фильме.,0846_csalodik_m.mp3
847,tartogat,tartogatni,A jó híreket a végére tartogatom.,"припасать, приберегать (про запас)",Хорошие новости я приберегаю напоследок.,0847_tartogat_m.mp3
848,besétál,besétálni,Lassan besétáltam a boltba.,"входить (не спеша), заходить",Я не спеша зашёл в магазин.,0848_besetal_m.mp3
849,kísért,kísérteni,Ne kísérts engem édességgel!,"искушать, соблазнять; являться (о призраке)",Не искушай меня сладостями!,0849_kisert_m.mp3
850,felhúz,felhúzni,Reggel gyorsan felhúzom a kabátomat.,надевать (натягивать); заводить (часы),Утром я быстро надеваю своё пальто.,0850_felhuz_m.mp3
851,lenyomoz,lenyomozni,Végül lenyomoztuk a tolvajt.,"разыскать, выследить",В конце концов мы разыскали вора.,0851_lenyomoz_m.mp3
852,növekszik,növekedni,Tavasszal gyorsan növekszik a fű.,"расти, увеличиваться",Весной трава быстро растёт.,0852_novekszik_m.mp3
853,körülnéz,körülnézni,A boltban lassan körülnéztem.,"осматриваться, оглядываться",Я не спеша осмотрелся в магазине.,0853_korulnez_m.mp3
854,eltemet,eltemetni,Tegnap eltemettük a kutyánkat a kertben.,хоронить / похоронить,Вчера мы похоронили нашу собаку в саду.,0854_eltemet_m.mp3
855,kefél ⚠️,kefélni,Minden reggel kefélem a hajamat.,расчёсывать щёткой,Каждое утро я расчёсываю волосы щёткой.,0855_kefel_m.mp3
856,gyógyít,gyógyítani,Ő gyógyítja a betegeket a kórházban.,"лечить, исцелять",Он(а) лечит больных в больнице.,0856_gyogyit_m.mp3
857,felemel,felemelni,Könnyen felemelem ezt a nehéz táskát.,поднимать / поднять,Я легко поднимаю эту тяжёлую сумку.,0857_felemel_m.mp3
858,kínál,kínálni,Mindig kávéval kínálom a vendégeket.,"угощать, предлагать",Я всегда угощаю гостей кофе.,0858_kinal_m.mp3
859,remeg,remegni,A hidegben remegtem egy kicsit.,"дрожать, трястись",На холоде я немного дрожал.,0859_remeg_m.mp3
860,pazarol,pazarolni,Ne pazarold a vizet reggel!,"тратить впустую, расточать",Не трать впустую воду по утрам!,0860_pazarol_m.mp3
861,kiborul,kiborulni,Néha teljesen kiborulok a munkahelyen.,"выходить из себя, психовать",Иногда я совершенно выхожу из себя на работе.,0861_kiborul_m.mp3
862,tüntet,tüntetni,Holnap a téren tüntetünk a békéért.,"участвовать в митинге, протестовать",Завтра мы будем митинговать на площади за мир.,0862_tuntet_m.mp3
863,hozzáér,hozzáérni,Ne érj hozzá a forró tűzhelyhez!,"прикасаться, дотрагиваться (к чему-л. — -hez/-hoz/-höz)",Не прикасайся к горячей плите!,0863_hozzaer_m.mp3
864,leszed,leszedni,Ebéd után leszedem az asztalt.,"убирать (со стола), снимать; собирать",После обеда я убираю со стола.,0864_leszed_m.mp3
865,higgad,higgadni,A vita után lassan higgadok.,успокаиваться,После ссоры я постепенно успокаиваюсь.,0865_higgad_m.mp3
866,tesztel,tesztelni,Holnap teszteljük az új programot.,"тестировать, испытывать",Завтра мы протестируем новую программу.,0866_tesztel_m.mp3
867,hozzámegy,hozzámenni,Hozzámegyek egy orvoshoz.,выходить замуж,Я выхожу замуж за врача.,0867_hozzamegy_m.mp3
868,szembenéz,szembenézni,Bátran szembenézünk a nehézségekkel.,"смотреть в лицо, противостоять (чему-л.)",Мы смело смотрим в лицо трудностям.,0868_szembenez_m.mp3
869,kerít,keríteni,Holnapra kerítek két jegyet a koncertre.,"раздобыть, достать",К завтрашнему дню я раздобуду два билета на концерт.,0869_kerit_m.mp3
870,továbblép,továbblépni,Most már továbblépünk a következő feladatra.,"идти дальше, переходить (к чему-л.)",Теперь мы переходим к следующему заданию.,0870_tovabblep_m.mp3
871,csíp,csípni,Nyáron mindig csípnek a szúnyogok.,"щипать, кусать; разг. нравиться",Летом меня всегда кусают комары.,0871_csip_m.mp3
872,mászkál,mászkálni,Egész nap a parkban mászkáltunk.,"бродить, слоняться",Мы весь день бродили по парку.,0872_maszkal_m.mp3
873,felébreszt,felébreszteni,Reggel hatkor felébresztelek téged.,будить / разбудить (кого-то),Я разбужу тебя утром в шесть.,0873_felebreszt_m.mp3
874,eltart,eltartani,Egyedül tartom el őt.,содержать (кого-л.); длиться,Я содержу его одна.,0874_eltart_m.mp3
875,igényel,igényelni,Holnap új igazolványt igénylek.,"требовать, нуждаться; запрашивать (что-л. — вин. падеж)",Завтра я запрошу новое удостоверение личности.,0875_igenyel_m.mp3
876,tűr,tűrni,Nehezen tűröm a nagy meleget nyáron.,"терпеть, выносить",Я с трудом переношу сильную жару летом.,0876_tur_m.mp3
877,eljátszik,eljátszani,Tegnap eljátszottam az összes pénzemet.,"растратить, проиграть (деньги); сыграть",Вчера я растратил(а) все свои деньги.,0877_eljatszik_m.mp3
878,adódik,adódni,Néha váratlan problémák adódnak a munkában.,"возникать, появляться",Иногда на работе возникают неожиданные проблемы.,0878_adodik_m.mp3
879,tanúskodik,tanúskodni,Holnap a bíróságon fogok tanúskodni.,"давать показания, свидетельствовать",Завтра я буду давать показания в суде.,0879_tanuskodik_m.mp3
880,gyárt,gyártani,Ez a gyár autókat gyárt.,производить / изготавливать,Этот завод производит автомобили.,0880_gyart_m.mp3
881,ellenez,ellenezni,Én is ellenzem ezt a tervet.,"возражать (против), противиться",Я тоже против этого плана.,0881_ellenez_m.mp3
882,ütközik,ütközni,A sötétben egy falba ütköztem.,столкнуться / врезаться (во что-то),В темноте я врезался в стену.,0882_utkozik_m.mp3
883,derül,derülni,Egy jó vicctől mindig jókedvre derülök.,веселеть,От хорошей шутки я всегда веселею.,0883_derul_m.mp3
884,ugrál,ugrálni,Vidáman ugrálok a parkban.,"прыгать, скакать",Я весело прыгаю в парке.,0884_ugral_m.mp3
885,kisétál,kisétálni,Reggel kisétáltam a házból a kertbe.,вышел,Утром я вышел (прогуливаясь) из дома в сад.,0885_kisetal_m.mp3
886,beáll,beállni,Beálltam a sorba a boltban.,встал,Я встал в очередь в магазине.,0886_beall_m.mp3
887,felmond,felmondani,Holnap felmondok a munkahelyemen.,увольняться (с работы),Завтра я увольняюсь с работы.,0887_felmond_m.mp3
888,hever,heverni,A macska egész nap a kanapén hever.,"лежать, валяться",Кошка весь день валяется на диване.,0888_hever_m.mp3
889,megjegyez,megjegyezni,Könnyen megjegyzem az új szavakat.,запоминать / запомнить,Я легко запоминаю новые слова.,0889_megjegyez_m.mp3
890,tippel,tippelni,Mindig rosszul tippelek a meccs eredményére.,угадывать,Я всегда неправильно угадываю результат матча.,0890_tippel_m.mp3
891,megtilt,megtiltani,Megtiltotta nekem a dohányzást.,запрещать / запретить,Он запретил мне курить.,0891_megtilt_m.mp3
892,megfenyeget,megfenyegetni,Tegnap megfenyegették a szomszédot.,"пригрозить, угрожать (кому-л.)",Вчера они пригрозили соседу.,0892_megfenyeget_m.mp3
893,sül,sülni,A kenyér most sül a sütőben.,"печься, жариться",Хлеб сейчас печётся в духовке.,0893_sul_m.mp3
894,tép,tépni,Reggel mindig tépek egy virágot a kertben.,рвать,Утром я всегда рву цветок в саду.,0894_tep_m.mp3
895,elhúz,elhúzni,Reggel mindig elhúzom a függönyt.,"отдёргивать, отодвигать (в сторону)",Утром я всегда отдёргиваю штору.,0895_elhuz_m.mp3
896,elájul,elájulni,A melegben majdnem elájultam.,падать / упасть в обморок,На жаре я чуть не упал в обморок.,0896_elajul_m.mp3
897,elítél,elítélni,Szigorúan elítélem az erőszakot.,осуждать / осудить; приговаривать,Я строго осуждаю насилие.,0897_elitel_m.mp3
898,elterel,elterelni,Elterelem a figyelmét egy vicces történettel.,отвлекать / отводить,Я отвлекаю его внимание смешной историей.,0898_elterel_m.mp3
899,rátalál,rátalálni,Végre rátaláltam a kulcsomra.,находить / найти (что-л.),Наконец-то я нашёл свой ключ.,0899_ratalal_m.mp3
900,helyettesít,helyettesíteni,Ma én helyettesítem a beteg kollégámat.,"заменять, замещать (кого-то)",Сегодня я замещаю своего больного коллегу.,0900_helyettesit_m.mp3
901,gyűlik,gyűlni,Gyűlik a pénzünk a nyaralásra.,копиться,У нас копятся деньги на отпуск.,0901_gyulik_m.mp3
902,megszólal,megszólalni,Hirtelen megszólalt a telefonom.,зазвучать; зазвонить; заговорить,Внезапно зазвонил мой телефон.,0902_megszolal_m.mp3
903,járkál,járkálni,Idegesen járkáltam a szobában.,"расхаживать, ходить туда-сюда",Я нервно расхаживал по комнате.,0903_jarkal_m.mp3
904,elszáll,elszállni,A madarak ősszel délre elszállnak.,улетать / улететь,Птицы осенью улетают на юг.,0904_elszall_m.mp3
905,betart,betartani,Mindig betartom a szabályokat.,соблюдать,Я всегда соблюдаю правила.,0905_betart_m.mp3
906,kiüt,kiütni,Egyetlen ütéssel kiütötte az ellenfelét.,выбивать; нокаутировать,Одним ударом он нокаутировал соперника.,0906_kiut_m.mp3
907,elvezet,elvezetni,Elvezetem a vendéget a szobájába.,отводить / отвести,Я провожу гостя в его комнату.,0907_elvezet_m.mp3
908,megállapít,megállapítani,Gyorsan megállapítottam az okot.,установил,Я быстро установил причину.,0908_megallapit_m.mp3
909,fürdik,fürdeni,Nyáron mindennap a tóban fürdünk.,купаться,Летом мы каждый день купаемся в озере.,0909_furdik_m.mp3
910,kémkedik,kémkedni,Gyakran kémkedik a szomszédok után.,шпионить (за кем-л.),Он часто шпионит за соседями.,0910_kemkedik_m.mp3
911,köszönhet,köszönhetni,Neki köszönhetem a jó munkámat.,быть обязанным (кому-л. чем-л.),Хорошей работой я обязан ему.,0911_koszonhet_m.mp3
912,képez,képezni,Most jó szakembereket képezünk.,"обучать, готовить (кадры)",Сейчас мы готовим хороших специалистов.,0912_kepez_m.mp3
913,zuhanyozik,zuhanyozni,Reggel mindig hideg vízzel zuhanyozom.,принимать душ,Утром я всегда принимаю душ холодной водой.,0913_zuhanyozik_m.mp3
914,visszatart,visszatartani,Alig tudtam visszatartani a nevetésemet.,сдерживать / удерживать,Я едва смог сдержать свой смех.,0914_visszatart_m.mp3
915,rohad,rohadni,A gyümölcs lassan rohad a konyhában.,"гнить, сгнить",Фрукт медленно гниёт на кухне.,0915_rohad_m.mp3
916,lel,lelni,Végre nyugalmat leltem itthon.,находить / обрести,Наконец-то я обрёл покой дома.,0916_lel_m.mp3
917,felhoz,felhozni,Mindig ezt a témát hozza fel a vacsoránál.,"поднимать, затрагивать (тему)",Он всегда поднимает эту тему за ужином.,0917_felhoz_m.mp3
918,elfárad,elfáradni,Este nagyon elfáradtam a munkában.,"устать, утомиться",Вечером я очень устал на работе.,0918_elfarad_m.mp3
919,megőriz,megőrizni,Mindig megőrzöm a régi fényképeket.,"хранить, сохранять; беречь",Я всегда храню старые фотографии.,0919_megoriz_m.mp3
920,mutatkozik,mutatkozni,Ő ritkán mutatkozik a nyilvánosság előtt.,показываться,Он редко появляется на публике.,0920_mutatkozik_m.mp3
921,idegesít,idegesíteni,Nagyon idegesít ez a hangos zene.,"раздражать, нервировать",Меня очень раздражает эта громкая музыка.,0921_idegesit_m.mp3
922,javul,javulni,Az időjárás holnap javul.,улучшаться / улучшиться,Завтра погода улучшится.,0922_javul_m.mp3
923,kommunikál,kommunikálni,Az ügyfelekkel mindig udvariasan kommunikálunk.,"общаться, коммуницировать",Мы всегда вежливо общаемся с клиентами.,0923_kommunikal_m.mp3
924,elbukik,elbukni,A vizsgán majdnem elbuktam.,"провалиться, потерпеть неудачу",Я чуть не провалился на экзамене.,0924_elbukik_m.mp3
925,ültet,ültetni,Tavasszal virágokat ültetek a kertbe.,сажать / посадить,Весной я сажаю цветы в сад.,0925_ultet_m.mp3
926,süllyed,süllyedni,A hajó lassan süllyed a vízben.,тонуть; погружаться,Корабль медленно тонет в воде.,0926_sullyed_m.mp3
927,izzad,izzadni,Nyáron mindig izzadok a melegben.,потеть,Летом я всегда потею в жару.,0927_izzad_m.mp3
928,elvet,elvetni,Mindig elvetem a rossz javaslatokat.,отвергать,Я всегда отвергаю плохие предложения.,0928_elvet_m.mp3
929,lenyúl,lenyúlni,Gyorsan lenyúltam a leesett kulcsért.,тянуться/нагибаться вниз (за чем-л.); стащить,Я быстро потянулся вниз за упавшим ключом.,0929_lenyul_m.mp3
930,lenyűgöz,lenyűgözni,A film tegnap teljesen lenyűgözött minket.,"восхищать, поражать (кого-л.)",Фильм вчера полностью поразил нас.,0930_lenyugoz_m.mp3
931,megnyugtat,megnyugtatni,A zene este mindig megnyugtat engem.,успокаивает,Музыка вечером всегда успокаивает меня.,0931_megnyugtat_m.mp3
932,beenged,beengedni,"Hideg van, ezért nem engedlek be.",впускать / впустить,"Холодно, поэтому я тебя не впущу.",0932_beenged_m.mp3
933,kiválaszt,kiválasztani,Mindig a legolcsóbb terméket választom ki.,выбирать / выбрать; отбирать,Я всегда выбираю самый дешёвый товар.,0933_kivalaszt_m.mp3
934,elkészít,elkészíteni,Gyorsan elkészítem a vacsorát.,"приготовить, изготовить",Я быстро приготовлю ужин.,0934_elkeszit_m.mp3
935,szétrúg,szétrúgni,Dühösen szétrúgta a homokvárat.,разбить пинками; раскидать ногами,Он злобно разбил пинками песочный замок.,0935_szetrug_m.mp3
936,játszadozik,játszadozni,A gyerekek a parkban játszadoznak.,"играть, забавляться",Дети играют в парке.,0936_jatszadozik_m.mp3
937,megházasodik,megházasodni,Tavaly nyáron megházasodott.,жениться (о мужчине),Прошлым летом он женился.,0937_meghazasodik_m.mp3
938,határoz,határozni,Holnap határozunk a nyaralásról.,"решать, выносить решение (о чём-л., с -ról/-ről)",Завтра мы примем решение об отпуске.,0938_hataroz_m.mp3
939,beindít,beindítani,Reggel mindig beindítom a számítógépet.,запускать / завести,Утром я всегда запускаю компьютер.,0939_beindit_m.mp3
940,átöltözik,átöltözni,Munka után gyorsan átöltözöm otthon.,переодеваться / переодеться,После работы я быстро переодеваюсь дома.,0940_atoltozik_m.mp3
941,megkezd,megkezdeni,Holnap megkezdjük a munkát.,начать / начинать,Завтра мы начнём работу.,0941_megkezd_m.mp3
942,felnéz,felnézni,Nagyon felnézek a tanáromra.,смотреть вверх; уважать (кого-то — felnéz valakire),Я очень уважаю своего учителя.,0942_felnez_m.mp3
943,megnyit,megnyitni,Reggel megnyitottam egy fontos fájlt.,открыть,Утром я открыл важный файл.,0943_megnyit_m.mp3
944,meggyógyít,meggyógyítani,Az orvos gyorsan meggyógyított engem.,"вылечить, исцелить",Врач быстро вылечил меня.,0944_meggyogyit_m.mp3
945,feljön,feljönni,Reggel korán feljön a nap.,подниматься / всходить,Утром солнце поднимается рано.,0945_feljon_m.mp3
946,alapul,alapulni,A döntésem a tapasztalatomon alapul.,основываться (на чём-л.),Моё решение основывается на моём опыте.,0946_alapul_m.mp3
947,nyilatkozik,nyilatkozni,Holnap nyilatkozik a televíziónak.,заявлять / делать заявление,Завтра он сделает заявление телевидению.,0947_nyilatkozik_m.mp3
948,megérez,megérezni,Rögtön megéreztem a veszélyt.,"почувствовать, ощутить",Я сразу почувствовал опасность.,0948_megerez_m.mp3
949,átlép,átlépni,Óvatosan átléptem a tócsán.,переступить,Я осторожно переступил через лужу.,0949_atlep_m.mp3
950,elveszik,elveszni,Mindig elveszek a nagy városban.,теряться,Я всегда теряюсь в большом городе.,0950_elveszik_m.mp3
951,megszokik,megszokni,Lassan megszoktam az új munkahelyet.,привыкать / привыкнуть (к чему-л.),Я постепенно привык к новому месту работы.,0951_megszokik_m.mp3
952,nyaral,nyaralni,Idén nyáron a tengernél nyaralunk.,"проводить лето, отдыхать (на отдыхе)",Этим летом мы отдыхаем у моря.,0952_nyaral_m.mp3
953,megállapodik,megállapodni,Végül megállapodtunk az árban.,договариваться / договориться (о чём-л. — valamiben),В конце концов мы договорились о цене.,0953_megallapodik_m.mp3
954,megnyugszik,megnyugodni,Végre megnyugodtam egy kicsit.,успокаиваться / успокоиться,Я наконец немного успокоился.,0954_megnyugszik_m.mp3
955,elsétál,elsétálni,Reggel elsétáltam a parkig.,дошёл,Утром я прогулочным шагом дошёл до парка.,0955_elsetal_m.mp3
956,óv,óvni,Mindig óvom a bőrömet a naptól.,защищать,Я всегда защищаю свою кожу от солнца.,0956_ov_m.mp3
957,lecsuk,lecsukni,Este mindig lecsukom a laptopot.,закрывать,Вечером я всегда закрываю ноутбук.,0957_lecsuk_m.mp3
958,takar,takarni,Este takaróval takarom a kutyát.,"укрывать, накрывать",Вечером я укрываю собаку одеялом.,0958_takar_m.mp3
959,önt,önteni,Vizet öntök a pohárba.,"лить, наливать",Я наливаю воду в стакан.,0959_ont_m.mp3
960,felfed,felfedni,Végre felfedte az igazságot.,раскрыла,Наконец-то она раскрыла правду.,0960_felfed_m.mp3
961,belekeveredik,belekeveredni,Véletlenül belekeveredtem egy vitába.,"впутаться, ввязаться (во что-л.)",Я случайно ввязался в спор.,0961_belekeveredik_m.mp3
962,lead,leadni,Holnap leadom a házi feladatot.,сдавать / сдать (отдавать),Завтра я сдам домашнее задание.,0962_lead_m.mp3
963,előjön,előjönni,Végre előjött a fa mögül.,вышел,Он наконец вышел из-за дерева.,0963_elojon_m.mp3
964,kifejez,kifejezni,Szavakkal nehéz kifejezni az érzéseimet.,выражать / выразить,Словами трудно выразить мои чувства.,0964_kifejez_m.mp3
965,rajtakap,rajtakapni,Tegnap rajtakaptam a macskát lopáson.,"застать врасплох, застигнуть (на чём-л.)",Вчера я застал кошку на воровстве.,0965_rajtakap_m.mp3
966,beállít,beállítani,Most beállítom az ébresztőórát reggelre.,"настраивать / устанавливать, ставить",Сейчас я ставлю будильник на утро.,0966_beallit_m.mp3
967,felgyújt,felgyújtani,Tegnap este felgyújtottam a villanyt.,поджигать / зажигать,Вчера вечером я зажёг свет.,0967_felgyujt_m.mp3
968,aktivál,aktiválni,Most aktiválom az új bankkártyámat.,активировать,Сейчас я активирую свою новую банковскую карту.,0968_aktival_m.mp3
969,idefigyel,idefigyelni,"Most idefigyelj, mert ez fontos!","слушать сюда, внимать","А ну-ка слушай сюда, потому что это важно!",0969_idefigyel_m.mp3
970,ügyel,ügyelni,Mindig ügyelek a rendre.,"следить, присматривать (за чем-л. — на -ra/-re)",Я всегда слежу за порядком.,0970_ugyel_m.mp3
971,felvet,felvetni,A megbeszélésen mindig felvetek egy fontos kérdést.,"поднимать (вопрос), затрагивать",На совещании я всегда поднимаю один важный вопрос.,0971_felvet_m.mp3
972,tár,tárni,Reggel mindig szélesre tárom az ablakot.,"распахивать, раскрывать (что-л.)",Утром я всегда широко распахиваю окно.,0972_tar_m.mp3
973,megünnepel,megünnepelni,Holnap megünnepeljük a győzelmet.,отпраздновать (что-л.),Завтра мы отпразднуем победу.,0973_megunnepel_m.mp3
974,összeveszik,összeveszni,Tegnap összevesztem a barátommal.,ссориться / поссориться (с кем-л.),Вчера я поссорился с другом.,0974_osszeveszik_m.mp3
975,barátkozik,barátkozni,Az iskolában könnyen barátkozom új emberekkel.,"дружить, заводить друзей (с кем-л. — vkivel)",В школе я легко завожу дружбу с новыми людьми.,0975_baratkozik_m.mp3
976,belenéz,belenézni,Reggel mindig belenézek a postaládába.,заглядывать / заглянуть (внутрь),Утром я всегда заглядываю в почтовый ящик.,0976_belenez_m.mp3
977,megelőz,megelőzni,Az autópályán megelőztünk egy lassú teherautót.,обгонять / обогнать; предотвращать,На автомагистрали мы обогнали медленный грузовик.,0977_megeloz_m.mp3
978,meglép,meglépni,A tolvaj gyorsan meglépett a pénzzel.,"улизнуть, смыться",Вор быстро смылся с деньгами.,0978_meglep_m.mp3
979,fektet,fektetni,Az ágyra fektetem a babát.,кладу,Я кладу малыша на кровать.,0979_fektet_m.mp3
980,lehúz,lehúzni,Gyorsan lehúztam a vizes pulóveremet.,стягивать / стянуть (снять),Я быстро стянул мокрый свитер.,0980_lehuz_m.mp3
981,megtör,megtörni,A rossz hír végül megtört engem.,"сломить, надломить",Плохая новость в конце концов сломила меня.,0981_megtor_m.mp3
982,elköltözik,elköltözni,Jövő hónapban elköltözöm egy másik városba.,переезжать / переехать,В следующем месяце я переезжаю в другой город.,0982_elkoltozik_m.mp3
983,robbant,robbantani,A bányában tegnap követ robbantottak.,взрывать / взорвать,Вчера в шахте взрывали камень.,0983_robbant_m.mp3
984,fenntart,fenntartani,Fenntartok nektek két helyet az asztalnál.,резервировать,Я резервирую для вас два места за столом.,0984_fenntart_m.mp3
985,megbukik,megbukni,Tegnap megbuktam a vizsgán.,проваливаться / провалиться (на экзамене),Вчера я провалился на экзамене.,0985_megbukik_m.mp3
986,megfogad,megfogadni,Mindig megfogadom anyám jó tanácsát.,"послушаться, последовать (совету)",Я всегда следую хорошему совету мамы.,0986_megfogad_m.mp3
987,lekapcsol,lekapcsolni,Este mindig lekapcsolom a villanyt.,выключать / выключить,Вечером я всегда выключаю свет.,0987_lekapcsol_m.mp3
988,tisztít,tisztítani,Minden reggel tisztítom a cipőmet.,чистить,Каждое утро я чищу свою обувь.,0988_tisztit_m.mp3
989,kikerül,kikerülni,Mindig kikerülöm a tócsákat az úton.,"обходить, избегать (что-л.)",Я всегда обхожу лужи на дороге.,0989_kikerul_m.mp3
